,sites,mean.canopy,mean.housing,mean.impervious
1,D02-HUP1,6.579506803,4284.412684,61.37813073
2,D02-MOP1,5.313743637,3605.255674,72.88315301
3,D02-RCP1,5.600587372,3174.989402,72.51936
4,D02-SCP1,5.02406015,3691.125703,75.80612567
5,D03-AFP1,6.944213923,3048.053905,69.60662914
6,D03-AMP1,6.888237756,1936.037063,64.71350531
7,D03-CHP1,5.519719544,2682.169143,67.71277916
8,D03-MFP1,7.133990958,2302.436991,66.49924219
9,D04-DNP1,7.994544692,2293.657328,54.70057034
,D04-EDW0,45.38925333,264,14.68781333
10,D04-FGP1,18.84670373,1601.002667,57.93403248
11,D04-RDP1,10.11723856,1712.702934,56.4510665
12,D05-ADC1,12.78404344,1362.913778,47.19046084
13,D05-BRP1,10.07497894,1440.988497,48.4436398
14,D05-MHC1,8.58041958,1488.104214,46.6844071
15,D05-MIA1,19.6206286,815.95178,56.9917769
16,D05-PRC1,14.64373642,920.0717918,40.87594937
17,D06-KCG1,28.87246476,616.0829861,41.32470499
18,D07-ASC1,14.55015924,468.4853749,40.6025601
19,D07-BEC1,56.32282282,393.6746379,31.17086331
20,D07-NOC1,43.69657962,709.5299241,45.68540541
21,D07-PLN1,7.572806172,1899.765043,54.81280193
22,D08-BOR1,28.01293568,409.4877795,40.95511811
23,D08-CCC1,23.48867434,871.0995963,39.44519193
24,D08-DAW1,47.465301,422.6461512,52.25390625
25,D08-DAW2,42.56245059,1294.761593,48.3932783
26,D09-BON1,8.200789128,316.4872904,48.81411917
27,D09-CLG1,44.43823425,366.3418374,30.06053812
28,D09-RYW1,65.07188161,166.4394576,18.34849653
29,D09-VTC1,37.57572541,288.7346888,41.33601514
30,D10-CAN1,44.88590604,65.41969636,63.00808625
31,D10-KEM1,45.23110947,410.6011957,46.41295863
32,D10-MAC1,58.47777778,50.63878467,19.74463938
33,D10-VHC1,15.19400428,179.3141512,46.59959759
34,J01-CLP1,4.608921162,3369.529237,76.96321615
35,J01-LMP1,5.803349876,3055.886401,60.45371474
36,J01-SEP1,3.835112693,8963.974894,78.99042757
37,J01-SKP1,4.78282514,2288.444613,80.604083
38,J01-UIC1,4.276332094,2534.533118,77.57346301
39,R02-ALT1,4.46964193,2271.540838,69.35610641
40,R02-DPG1,7.655899507,2117.135786,60.51159913
41,R02-FRP1,4.839481555,1988.268843,69.02292441
42,R03-AUP1,12.3175853,2982.120711,58.5045045
43,R03-CPG1,10.75942623,2786.756658,57.69719862
44,R03-EUC1,9.109227129,2124.239257,58.84577573
45,R03-MAP1,9.196707472,1890.11174,60.71366052
46,R04-MMW1,13.84245077,777.9131966,45.12275215
47,R04-SCH1,7.388185654,1062.127933,58.74231242
48,R05-FMG1,8.660946197,553.2093434,40.40070694
