"species"	"site"	"season"	"count"
"1"	"1"	"1"	NA
"2"	"1"	"1"	NA
"3"	"1"	"1"	NA
"4"	"1"	"1"	NA
"5"	"1"	"1"	NA
"6"	"1"	"1"	NA
"7"	"1"	"1"	NA
"8"	"1"	"1"	NA
"9"	"1"	"1"	NA
"10"	"1"	"1"	NA
"11"	"1"	"1"	NA
"12"	"1"	"1"	NA
"13"	"1"	"1"	NA
"14"	"1"	"1"	NA
"15"	"1"	"1"	NA
"16"	"1"	"1"	NA
"1"	"2"	"1"	NA
"2"	"2"	"1"	NA
"3"	"2"	"1"	NA
"4"	"2"	"1"	NA
"5"	"2"	"1"	NA
"6"	"2"	"1"	NA
"7"	"2"	"1"	NA
"8"	"2"	"1"	NA
"9"	"2"	"1"	NA
"10"	"2"	"1"	NA
"11"	"2"	"1"	NA
"12"	"2"	"1"	NA
"13"	"2"	"1"	NA
"14"	"2"	"1"	NA
"15"	"2"	"1"	NA
"16"	"2"	"1"	NA
"1"	"3"	"1"	NA
"2"	"3"	"1"	NA
"3"	"3"	"1"	NA
"4"	"3"	"1"	NA
"5"	"3"	"1"	NA
"6"	"3"	"1"	NA
"7"	"3"	"1"	NA
"8"	"3"	"1"	NA
"9"	"3"	"1"	NA
"10"	"3"	"1"	NA
"11"	"3"	"1"	NA
"12"	"3"	"1"	NA
"13"	"3"	"1"	NA
"14"	"3"	"1"	NA
"15"	"3"	"1"	NA
"16"	"3"	"1"	NA
"1"	"4"	"1"	NA
"2"	"4"	"1"	NA
"3"	"4"	"1"	NA
"4"	"4"	"1"	NA
"5"	"4"	"1"	NA
"6"	"4"	"1"	NA
"7"	"4"	"1"	NA
"8"	"4"	"1"	NA
"9"	"4"	"1"	NA
"10"	"4"	"1"	NA
"11"	"4"	"1"	NA
"12"	"4"	"1"	NA
"13"	"4"	"1"	NA
"14"	"4"	"1"	NA
"15"	"4"	"1"	NA
"16"	"4"	"1"	NA
"1"	"5"	"1"	NA
"2"	"5"	"1"	NA
"3"	"5"	"1"	NA
"4"	"5"	"1"	NA
"5"	"5"	"1"	NA
"6"	"5"	"1"	NA
"7"	"5"	"1"	NA
"8"	"5"	"1"	NA
"9"	"5"	"1"	NA
"10"	"5"	"1"	NA
"11"	"5"	"1"	NA
"12"	"5"	"1"	NA
"13"	"5"	"1"	NA
"14"	"5"	"1"	NA
"15"	"5"	"1"	NA
"16"	"5"	"1"	NA
"1"	"6"	"1"	NA
"2"	"6"	"1"	NA
"3"	"6"	"1"	NA
"4"	"6"	"1"	NA
"5"	"6"	"1"	NA
"6"	"6"	"1"	NA
"7"	"6"	"1"	NA
"8"	"6"	"1"	NA
"9"	"6"	"1"	NA
"10"	"6"	"1"	NA
"11"	"6"	"1"	NA
"12"	"6"	"1"	NA
"13"	"6"	"1"	NA
"14"	"6"	"1"	NA
"15"	"6"	"1"	NA
"16"	"6"	"1"	NA
"1"	"7"	"1"	NA
"2"	"7"	"1"	NA
"3"	"7"	"1"	NA
"4"	"7"	"1"	NA
"5"	"7"	"1"	NA
"6"	"7"	"1"	NA
"7"	"7"	"1"	NA
"8"	"7"	"1"	NA
"9"	"7"	"1"	NA
"10"	"7"	"1"	NA
"11"	"7"	"1"	NA
"12"	"7"	"1"	NA
"13"	"7"	"1"	NA
"14"	"7"	"1"	NA
"15"	"7"	"1"	NA
"16"	"7"	"1"	NA
"1"	"8"	"1"	NA
"2"	"8"	"1"	NA
"3"	"8"	"1"	NA
"4"	"8"	"1"	NA
"5"	"8"	"1"	NA
"6"	"8"	"1"	NA
"7"	"8"	"1"	NA
"8"	"8"	"1"	NA
"9"	"8"	"1"	NA
"10"	"8"	"1"	NA
"11"	"8"	"1"	NA
"12"	"8"	"1"	NA
"13"	"8"	"1"	NA
"14"	"8"	"1"	NA
"15"	"8"	"1"	NA
"16"	"8"	"1"	NA
"1"	"9"	"1"	NA
"2"	"9"	"1"	NA
"3"	"9"	"1"	NA
"4"	"9"	"1"	NA
"5"	"9"	"1"	NA
"6"	"9"	"1"	NA
"7"	"9"	"1"	NA
"8"	"9"	"1"	NA
"9"	"9"	"1"	NA
"10"	"9"	"1"	NA
"11"	"9"	"1"	NA
"12"	"9"	"1"	NA
"13"	"9"	"1"	NA
"14"	"9"	"1"	NA
"15"	"9"	"1"	NA
"16"	"9"	"1"	NA
"1"	"10"	"1"	NA
"2"	"10"	"1"	NA
"3"	"10"	"1"	NA
"4"	"10"	"1"	NA
"5"	"10"	"1"	NA
"6"	"10"	"1"	NA
"7"	"10"	"1"	NA
"8"	"10"	"1"	NA
"9"	"10"	"1"	NA
"10"	"10"	"1"	NA
"11"	"10"	"1"	NA
"12"	"10"	"1"	NA
"13"	"10"	"1"	NA
"14"	"10"	"1"	NA
"15"	"10"	"1"	NA
"16"	"10"	"1"	NA
"1"	"11"	"1"	NA
"2"	"11"	"1"	NA
"3"	"11"	"1"	NA
"4"	"11"	"1"	NA
"5"	"11"	"1"	NA
"6"	"11"	"1"	NA
"7"	"11"	"1"	NA
"8"	"11"	"1"	NA
"9"	"11"	"1"	NA
"10"	"11"	"1"	NA
"11"	"11"	"1"	NA
"12"	"11"	"1"	NA
"13"	"11"	"1"	NA
"14"	"11"	"1"	NA
"15"	"11"	"1"	NA
"16"	"11"	"1"	NA
"1"	"12"	"1"	NA
"2"	"12"	"1"	NA
"3"	"12"	"1"	NA
"4"	"12"	"1"	NA
"5"	"12"	"1"	NA
"6"	"12"	"1"	NA
"7"	"12"	"1"	NA
"8"	"12"	"1"	NA
"9"	"12"	"1"	NA
"10"	"12"	"1"	NA
"11"	"12"	"1"	NA
"12"	"12"	"1"	NA
"13"	"12"	"1"	NA
"14"	"12"	"1"	NA
"15"	"12"	"1"	NA
"16"	"12"	"1"	NA
"1"	"13"	"1"	NA
"2"	"13"	"1"	NA
"3"	"13"	"1"	NA
"4"	"13"	"1"	NA
"5"	"13"	"1"	NA
"6"	"13"	"1"	NA
"7"	"13"	"1"	NA
"8"	"13"	"1"	NA
"9"	"13"	"1"	NA
"10"	"13"	"1"	NA
"11"	"13"	"1"	NA
"12"	"13"	"1"	NA
"13"	"13"	"1"	NA
"14"	"13"	"1"	NA
"15"	"13"	"1"	NA
"16"	"13"	"1"	NA
"1"	"14"	"1"	NA
"2"	"14"	"1"	NA
"3"	"14"	"1"	NA
"4"	"14"	"1"	NA
"5"	"14"	"1"	NA
"6"	"14"	"1"	NA
"7"	"14"	"1"	NA
"8"	"14"	"1"	NA
"9"	"14"	"1"	NA
"10"	"14"	"1"	NA
"11"	"14"	"1"	NA
"12"	"14"	"1"	NA
"13"	"14"	"1"	NA
"14"	"14"	"1"	NA
"15"	"14"	"1"	NA
"16"	"14"	"1"	NA
"1"	"15"	"1"	NA
"2"	"15"	"1"	NA
"3"	"15"	"1"	NA
"4"	"15"	"1"	NA
"5"	"15"	"1"	NA
"6"	"15"	"1"	NA
"7"	"15"	"1"	NA
"8"	"15"	"1"	NA
"9"	"15"	"1"	NA
"10"	"15"	"1"	NA
"11"	"15"	"1"	NA
"12"	"15"	"1"	NA
"13"	"15"	"1"	NA
"14"	"15"	"1"	NA
"15"	"15"	"1"	NA
"16"	"15"	"1"	NA
"1"	"16"	"1"	0
"2"	"16"	"1"	13
"3"	"16"	"1"	5
"4"	"16"	"1"	20
"5"	"16"	"1"	0
"6"	"16"	"1"	0
"7"	"16"	"1"	0
"8"	"16"	"1"	3
"9"	"16"	"1"	0
"10"	"16"	"1"	0
"11"	"16"	"1"	0
"12"	"16"	"1"	0
"13"	"16"	"1"	0
"14"	"16"	"1"	0
"15"	"16"	"1"	0
"16"	"16"	"1"	0
"1"	"17"	"1"	0
"2"	"17"	"1"	0
"3"	"17"	"1"	0
"4"	"17"	"1"	3
"5"	"17"	"1"	0
"6"	"17"	"1"	1
"7"	"17"	"1"	0
"8"	"17"	"1"	2
"9"	"17"	"1"	0
"10"	"17"	"1"	0
"11"	"17"	"1"	0
"12"	"17"	"1"	0
"13"	"17"	"1"	0
"14"	"17"	"1"	0
"15"	"17"	"1"	0
"16"	"17"	"1"	0
"1"	"18"	"1"	NA
"2"	"18"	"1"	NA
"3"	"18"	"1"	NA
"4"	"18"	"1"	NA
"5"	"18"	"1"	NA
"6"	"18"	"1"	NA
"7"	"18"	"1"	NA
"8"	"18"	"1"	NA
"9"	"18"	"1"	NA
"10"	"18"	"1"	NA
"11"	"18"	"1"	NA
"12"	"18"	"1"	NA
"13"	"18"	"1"	NA
"14"	"18"	"1"	NA
"15"	"18"	"1"	NA
"16"	"18"	"1"	NA
"1"	"19"	"1"	NA
"2"	"19"	"1"	NA
"3"	"19"	"1"	NA
"4"	"19"	"1"	NA
"5"	"19"	"1"	NA
"6"	"19"	"1"	NA
"7"	"19"	"1"	NA
"8"	"19"	"1"	NA
"9"	"19"	"1"	NA
"10"	"19"	"1"	NA
"11"	"19"	"1"	NA
"12"	"19"	"1"	NA
"13"	"19"	"1"	NA
"14"	"19"	"1"	NA
"15"	"19"	"1"	NA
"16"	"19"	"1"	NA
"1"	"20"	"1"	1
"2"	"20"	"1"	21
"3"	"20"	"1"	0
"4"	"20"	"1"	1
"5"	"20"	"1"	0
"6"	"20"	"1"	0
"7"	"20"	"1"	0
"8"	"20"	"1"	1
"9"	"20"	"1"	0
"10"	"20"	"1"	0
"11"	"20"	"1"	0
"12"	"20"	"1"	0
"13"	"20"	"1"	0
"14"	"20"	"1"	0
"15"	"20"	"1"	0
"16"	"20"	"1"	0
"1"	"21"	"1"	7
"2"	"21"	"1"	25
"3"	"21"	"1"	2
"4"	"21"	"1"	17
"5"	"21"	"1"	0
"6"	"21"	"1"	5
"7"	"21"	"1"	0
"8"	"21"	"1"	1
"9"	"21"	"1"	0
"10"	"21"	"1"	0
"11"	"21"	"1"	0
"12"	"21"	"1"	0
"13"	"21"	"1"	0
"14"	"21"	"1"	0
"15"	"21"	"1"	0
"16"	"21"	"1"	0
"1"	"22"	"1"	NA
"2"	"22"	"1"	NA
"3"	"22"	"1"	NA
"4"	"22"	"1"	NA
"5"	"22"	"1"	NA
"6"	"22"	"1"	NA
"7"	"22"	"1"	NA
"8"	"22"	"1"	NA
"9"	"22"	"1"	NA
"10"	"22"	"1"	NA
"11"	"22"	"1"	NA
"12"	"22"	"1"	NA
"13"	"22"	"1"	NA
"14"	"22"	"1"	NA
"15"	"22"	"1"	NA
"16"	"22"	"1"	NA
"1"	"23"	"1"	0
"2"	"23"	"1"	1
"3"	"23"	"1"	1
"4"	"23"	"1"	0
"5"	"23"	"1"	0
"6"	"23"	"1"	1
"7"	"23"	"1"	1
"8"	"23"	"1"	0
"9"	"23"	"1"	0
"10"	"23"	"1"	0
"11"	"23"	"1"	0
"12"	"23"	"1"	0
"13"	"23"	"1"	0
"14"	"23"	"1"	0
"15"	"23"	"1"	0
"16"	"23"	"1"	0
"1"	"24"	"1"	NA
"2"	"24"	"1"	NA
"3"	"24"	"1"	NA
"4"	"24"	"1"	NA
"5"	"24"	"1"	NA
"6"	"24"	"1"	NA
"7"	"24"	"1"	NA
"8"	"24"	"1"	NA
"9"	"24"	"1"	NA
"10"	"24"	"1"	NA
"11"	"24"	"1"	NA
"12"	"24"	"1"	NA
"13"	"24"	"1"	NA
"14"	"24"	"1"	NA
"15"	"24"	"1"	NA
"16"	"24"	"1"	NA
"1"	"25"	"1"	2
"2"	"25"	"1"	20
"3"	"25"	"1"	0
"4"	"25"	"1"	1
"5"	"25"	"1"	0
"6"	"25"	"1"	0
"7"	"25"	"1"	0
"8"	"25"	"1"	1
"9"	"25"	"1"	0
"10"	"25"	"1"	0
"11"	"25"	"1"	0
"12"	"25"	"1"	0
"13"	"25"	"1"	0
"14"	"25"	"1"	0
"15"	"25"	"1"	0
"16"	"25"	"1"	0
"1"	"26"	"1"	2
"2"	"26"	"1"	4
"3"	"26"	"1"	0
"4"	"26"	"1"	4
"5"	"26"	"1"	0
"6"	"26"	"1"	0
"7"	"26"	"1"	0
"8"	"26"	"1"	1
"9"	"26"	"1"	0
"10"	"26"	"1"	0
"11"	"26"	"1"	0
"12"	"26"	"1"	0
"13"	"26"	"1"	0
"14"	"26"	"1"	0
"15"	"26"	"1"	0
"16"	"26"	"1"	0
"1"	"27"	"1"	0
"2"	"27"	"1"	0
"3"	"27"	"1"	5
"4"	"27"	"1"	1
"5"	"27"	"1"	1
"6"	"27"	"1"	0
"7"	"27"	"1"	0
"8"	"27"	"1"	0
"9"	"27"	"1"	0
"10"	"27"	"1"	0
"11"	"27"	"1"	0
"12"	"27"	"1"	0
"13"	"27"	"1"	0
"14"	"27"	"1"	0
"15"	"27"	"1"	0
"16"	"27"	"1"	0
"1"	"28"	"1"	NA
"2"	"28"	"1"	NA
"3"	"28"	"1"	NA
"4"	"28"	"1"	NA
"5"	"28"	"1"	NA
"6"	"28"	"1"	NA
"7"	"28"	"1"	NA
"8"	"28"	"1"	NA
"9"	"28"	"1"	NA
"10"	"28"	"1"	NA
"11"	"28"	"1"	NA
"12"	"28"	"1"	NA
"13"	"28"	"1"	NA
"14"	"28"	"1"	NA
"15"	"28"	"1"	NA
"16"	"28"	"1"	NA
"1"	"29"	"1"	NA
"2"	"29"	"1"	NA
"3"	"29"	"1"	NA
"4"	"29"	"1"	NA
"5"	"29"	"1"	NA
"6"	"29"	"1"	NA
"7"	"29"	"1"	NA
"8"	"29"	"1"	NA
"9"	"29"	"1"	NA
"10"	"29"	"1"	NA
"11"	"29"	"1"	NA
"12"	"29"	"1"	NA
"13"	"29"	"1"	NA
"14"	"29"	"1"	NA
"15"	"29"	"1"	NA
"16"	"29"	"1"	NA
"1"	"30"	"1"	0
"2"	"30"	"1"	0
"3"	"30"	"1"	0
"4"	"30"	"1"	0
"5"	"30"	"1"	0
"6"	"30"	"1"	0
"7"	"30"	"1"	0
"8"	"30"	"1"	1
"9"	"30"	"1"	0
"10"	"30"	"1"	1
"11"	"30"	"1"	0
"12"	"30"	"1"	0
"13"	"30"	"1"	0
"14"	"30"	"1"	0
"15"	"30"	"1"	0
"16"	"30"	"1"	0
"1"	"31"	"1"	NA
"2"	"31"	"1"	NA
"3"	"31"	"1"	NA
"4"	"31"	"1"	NA
"5"	"31"	"1"	NA
"6"	"31"	"1"	NA
"7"	"31"	"1"	NA
"8"	"31"	"1"	NA
"9"	"31"	"1"	NA
"10"	"31"	"1"	NA
"11"	"31"	"1"	NA
"12"	"31"	"1"	NA
"13"	"31"	"1"	NA
"14"	"31"	"1"	NA
"15"	"31"	"1"	NA
"16"	"31"	"1"	NA
"1"	"32"	"1"	NA
"2"	"32"	"1"	NA
"3"	"32"	"1"	NA
"4"	"32"	"1"	NA
"5"	"32"	"1"	NA
"6"	"32"	"1"	NA
"7"	"32"	"1"	NA
"8"	"32"	"1"	NA
"9"	"32"	"1"	NA
"10"	"32"	"1"	NA
"11"	"32"	"1"	NA
"12"	"32"	"1"	NA
"13"	"32"	"1"	NA
"14"	"32"	"1"	NA
"15"	"32"	"1"	NA
"16"	"32"	"1"	NA
"1"	"33"	"1"	NA
"2"	"33"	"1"	NA
"3"	"33"	"1"	NA
"4"	"33"	"1"	NA
"5"	"33"	"1"	NA
"6"	"33"	"1"	NA
"7"	"33"	"1"	NA
"8"	"33"	"1"	NA
"9"	"33"	"1"	NA
"10"	"33"	"1"	NA
"11"	"33"	"1"	NA
"12"	"33"	"1"	NA
